comp1 43% (1.0/0.25/0.5/dtbpy), 68% (1.0/0.25/0.5/me4phen)
comp2 85% (0.75/0.25/0.5/dtbpy), 86% (0.75/0.25/0.5/me4phen), 85% (1.0/0.25/0.5/me4phen)
comp3 27% (1.5/0.5/1.0/dtbpy), 94% (1.5/0.5/1.0/me4phen)
comp4 27% (1.5/1.0/2.0/dtbpy), 72% (1.5/1.0/2.0/me4phen), 15% (0.75/1.0/2.0/me4phen), 46% (1.0/1.0/2.0/me4phen), 72% (1.5/1.0/2.0/me4phen)
comp5 81% (1.0/0.25/0.5/me4phen)
comp6 84% (1.0/0.25/0.5/me4phen)
comp7 71% (1.0/0.25/0.5/me4phen)
comp8 72% (1.0/0.25/0.5/me4phen)
comp9 0-pos. 24% (1.0/0.25/0.5/me4phen), 1-pos. 9% (1.0/0.25/0.5/me4phen), 2-pos. 4% (1.0/0.25/0.5/me4phen)
comp10 94% (1.5/0.5/1.0/me4phen)
comp11 72% (1.5/0.5/1.0/me4phen)
comp12 77% (1.5/0.5/1.0/me4phen)
comp13 14% (1.0/0.5/1.0/me4phen)
comp14 70% (1.0/0.5/1.0/me4phen)
comp15 69% (1.0/0.5/1.0/me4phen)
comp16 91% (1.5/2.5/5.0/me4phen)
comp17 59% (1.5/2.5/5.0/me4phen)
comp18 70% (1.5/2.5/5.0/me4phen)
comp19 59% (1.5/2.5/5.0/me4phen)
comp20 55% (1.5/1.0/2.0/me4phen)
comp21 65% (1.5/1.0/2.0/me4phen)
comp22 73% (1.5/1.0/2.0/me4phen)
comp23 95% (1.5/1.0/2.0/me4phen)
comp24 71% (1.5/1.0/2.0/me4phen)
comp25 70% (1.5/1.0/2.0/me4phen)
comp26 51% (1.5/1.0/2.0/me4phen)
comp27 73% (1.1/1.5/3.0/dtbpy)
comp28 80% (1.1/1.5/3.0/dtbpy)
comp29 22% (1.1/1.5/3.0/dtbpy)
comp30 55% (--/1.5/3.0/bpy)
comp33 65% (0.8/1.5/3.0/dtbpy)
comp36 93% (--/0.25/1.0/tmphen)
comp39 80% (1.1/1.5/3.0/dtbpy)
comp40 80% (1.1/1.5/3.0/dtbpy)
comp41 71% (1.1/1.5/3.0/dtbpy)
comp42 96% (--/1.5/3.0/dtbpy)
comp43 95% (--/1.5/3.0/dtbpy)
comp44 85% (--/1.5/3.0/dtbpy)
comp45 73% (1.1/0.25/0.5/dtbpy)
comp46 80% (--/0.25/0.5/dtbpy)
comp47 68% (1.5/1.5/3.0/dtbpy)
comp48 12% (1.5/1.5/3.0/dtbpy)
comp49 24% (--/1.5/3.0/dtbpy)
comp50 30% (--/1.5/3.0/dtbpy)
comp51 51% (--/1.5/3.0/dtbpy)
comp52 15% (--/1.5/3.0/dtbpy)
comp53 72% (--/1.5/3.0/dtbpy)
comp54 2%  (--/1.5/3.0/dtbpy)
comp55 56% (2.5/4.5/9.0/dtbpy)
comp56 98% (1.0/1.5/3.0/dtbpy)
comp57 58% (2.0/3.0/6.0/dtpy)
comp58 29% (2.0/3.0/6.0/dtpy)
comp59 66% (2.0/3.0/6.0/dtbpy)
comp60 29% (2.0/3.0/6.0/dtbpy)
comp61 76% (2.0/3.0/6.0/dtbpy)
comp62 13% (2.0/3.0/6.0/dtbpy)
comp63 60% (--/1.5/3.0/dtbpy)
comp64 19% (--/1.5/3.0/dtbpy)
comp65 78% (--/1.5/3.0/dtbpy)
comp66 1%  (--/1.5/3.0/dtbpy)
comp67 78% (--/1.5/3.0/dtbpy)
comp68 60% (1.2/1.0/--/--)
comp69 45% (--/1.5/3.0/dtbpy)
comp70 55% (--/1.5/3.0/dtbpy)
comp71 91% (--/1.5/3.0/dtbpy)
comp72 1%  (--/1.5/3.0/dtbpy)
comp73 88% (--/1.5/3.0/dtbpy)
comp74 1%  (--/1.5/3.0/dtbpy)
comp75 88% (--/1.5/3.0/dtbpy)
comp76 3%  (--/1.5/3.0/dtbpy)
comp77 90% (2.2/1.0/2.0/dtbpy)
comp78 50% (0.7/1.5/3.0/dtbpy)
comp79 65% (1.0/1.5/3.0/dtbpy)
comp80 17% (1.0/1.5/3.0/dtbpy)
comp81 46% (4.25/5.0/10.0/dtbpy)
comp82 23% (4.25/5.0/10.0/dtbpy)
comp83 53% (4.25/5.0/10.0/dtbpy)
comp84 27% (4.25/5.0/10.0/dtbpy)
comp85 56% (1.2/1.0/--/--)
comp86 83% (1.0/0.125/--/--)
comp87 99% (1.5/1.0/2.5/tmphen)
comp88 73% (1.5/1.0/2.5/tmphen)
comp91 45% (1.2/2.0/4.0/dtbpy)
comp92 15% (1.2/2.0/4.0/dtbpy)
comp93 10% (1.2/2.0/4.0/dtbpy)
comp97 72% (1.0/1.5/3.0/dtbpy)
